Lead ID,Restaurant Name,Website,Contact Email,Phone,Instagram,Website Problems,Opportunity,Recommended Package,Status,Last Contact Date,Next Follow-Up Date,Notes
"HOU-001","The Domain Houston","https://www.thedomainrestaurantandlounge.com/","domainhouston@gmail.com","832-986-8987","","Outdated design; weak mobile experience; no clear digital menu; reservation flow previously reported as unreliable; UI inconsistencies across pages","Build a fast mobile-first website with clear menu access, working reservation CTA, event promotion, gallery and contact flow","Growth - Intro $699","Qualified - Not Contacted","","","High priority lead"
"HOU-002","State of Grace","https://stateofgracetx.com/","stateofgracetx@rocketfarmrestaurants.com","832-942-5080","","Older page design; gallery loading issue found in previous audit; several user actions redirect to external services","Modernize the visual experience, improve gallery performance and create clearer reservation, private dining and ordering journeys","Premium - From $999 Intro","Qualified - Not Contacted","","","Medium priority; established restaurant may require a stronger personalized pitch"
"HOU-003","Pho Ben Sugar Land - First Colony","https://www.phobensugarland.com/","phobenhouston@gmail.com","281-565-0492","","Basic Google Sites design; limited navigation; menu and ordering rely heavily on external Google links; weak conversion journey","Create a professional branded restaurant site with structured menu, ordering links, catering CTA, gallery, reviews and local SEO","Growth - Intro $699","Qualified - Not Contacted","","","High priority lead"
"HOU-004","Wang Shack","https://wangshack.com/","wangshack@yahoo.com","832-684-9790","","Website is modern but ordering depends on Toast; customer journey moves between branded site and third-party platform","Offer targeted conversion improvements, SEO, landing pages, stronger social proof and better branded ordering transitions","Premium - Selective","Qualified - Not Contacted","","","Low priority; contact only with a specific improvement proposal"
"HOU-005","Taste Kitchen + Bar","https://www.tastehtx.com/","info@tastedowntownhtx.com","713-485-5803 / 281-206-0186","","Strong premium website; homepage is long; menu organization and customer social proof could be improved","Offer focused optimization rather than a full redesign: menu UX, reviews, performance, local SEO and conversion improvements","Premium - Selective","Qualified - Not Contacted","","","Low priority; already has strong branding and photography"
"HOU-006","China Doll Restaurant","https://chinadollhoustontx.wixsite.com/chinadollrestaurant","chinadoll.houstontx@gmail.com","713-681-5097","","Wix subdomain; basic single-page presentation; no clear digital menu; no visible online ordering or reservation journey; older visual style","Create a branded mobile-first website with structured menu, online ordering links, gallery, reviews and prominent contact CTAs","Growth - Intro $699","Qualified - Not Contacted","","","High priority lead"
"HOU-007","Cielito Cafe","https://cielitocafehouston.wixsite.com/cielitocafe","cielitocafehouston@gmail.com","832-409-5253","","Wix subdomain; menu opens as an external file; limited navigation; reservation/contact journey is basic; weak brand ownership through URL","Build a professional branded site with an interactive menu, ordering links, gallery, reservation information and local SEO","Growth - Intro $699","Qualified - Not Contacted","","","High priority lead"
"HOU-008","Soju Bar & Restaurant","https://sojubar.wixsite.com/home","","713-449-3082","","Wix subdomain; older 2018 design; dated copy and presentation; unnecessary account login; no clear ordering flow; contact email not visible","Create a modern nightlife-focused restaurant site with menu, events, reservations, online ordering and social proof","Growth - Intro $699","Qualified - Not Contacted","","","High priority lead; phone or social outreach required"
"HOU-009","Korea House Houston","https://snskoreahousehoust.wixsite.com/home","","713-465-6400 / 713-966-9267","","Wix subdomain; older 2017 layout; dense menu navigation; dated content presentation; reservations rely primarily on phone; email not visible","Modernize the website with organized menus, group dining and catering CTAs, online reservations, ordering links and mobile-first UX","Growth - Intro $699","Qualified - Not Contacted","","","High priority lead; phone or social outreach required"
"HOU-010","Pasha Turkish Restaurant","https://www.epasha.com/","info@epasha.com","713-592-0020","","Older website presentation; menus spread across multiple pages; takeout, catering and reservations rely on phone or email; no clear online conversion flow","Redesign the customer journey with modern menu presentation, reservation and ordering CTAs, catering inquiries, reviews and local SEO","Premium - From $999 Intro","Qualified - Not Contacted","","","Medium-high priority; established restaurant with substantial content"
